AC7.2	C47C12.3
C24H11.7	F49C12.13
C24H11.7	F52B11.3
C24H11.7	F55A11.2
C24H11.7	F55A12.7
C24H11.7	F55A8.1
C24H11.7	F57B10.1
C24H11.7	F57B9.2
C24H11.7	H19M22.2
C24H11.7	H19N07.1
C24H11.7	K01G5.4
C24H11.7	K02B12.3
C24H11.7	K02F2.2
C24H11.7	K04H4.1
C24H11.7	K07C5.6
C24H11.7	K07D4.3
C24H11.7	K07D8.1
C24H11.7	K08E5.3
C24H11.7	K09H9.6
C24H11.7	K11D9.2
C24H11.7	K11H12.2
C24H11.7	K12H4.3
C24H11.7	M01B12.5
C24H11.7	M106.5
C24H11.7	M28.5
C24H11.7	R09B3.4
C24H11.7	R119.4
C24H11.7	R12B2.5
C24H11.7	R144.2
C24H11.7	T01C3.7
C24H11.7	T14G10.5
C24H11.7	T15B7.2
C24H11.7	T17E9.2
C24H11.7	T20B12.1
C24H11.7	T20H4.3
C24H11.7	T21D12.4
C24H11.7	T23D8.3
C24H11.7	T27F7.1
C24H11.7	W07B3.2
C24H11.7	W08D2.7
C24H11.7	Y111B2A.11
C24H11.7	Y38F2AL.4
C24H11.7	Y48G1A.5
C24H11.7	Y53C10A.12
C24H11.7	Y55F3AR.3
C24H11.7	Y63D3A.5
C24H11.7	Y71D11A.5
C24H11.7	Y71F9B.4
C24H11.7	Y71G12B.11
C24H11.7	Y76A2A.2
C24H11.7	Y77E11A.13
C24H11.7	ZK1058.2
C24H11.7	ZK1151.1
C24H11.7	ZK652.1
C25A1.11	D1007.5
C25A1.11	F29D11.2
C25A1.11	F46F11.9
C25A1.11	F54E7.2
C25A1.11	T14B4.7
C25A1.11	Y106G6H.7
C25A1.11	ZK863.6
C25A1.5	C27F2.8
C25A1.5	C32E12.4
C25A1.5	C49F5.1
C25A1.5	F37E3.1
C25A1.5	F55C5.8
C25A1.5	F57B10.1
C25A1.5	F59B10.1
C25A1.5	F59E10.1
C25A1.5	H06H21.3
C25A1.5	H19N07.1
C25A1.5	K11H12.2
C25A1.5	M01B12.5
C25A1.5	T01C3.1
C25A1.5	Y111B2A.11
C25A1.5	Y111B2A.12
C25A1.5	Y17G7B.20
C25A1.5	Y48A6B.5
C25A1.5	Y52B11A.10
C25A1.5	Y71F9AM.4
C25A1.5	ZC247.1
C25A1.5	ZC410.7
C25A1.9	C26C6.5
C25A1.9	C26D10.2
C25A1.9	C27A2.6
C25A1.9	C27F2.10
C25A1.9	C27H6.2
C25A1.9	C30C11.4
C25A1.9	C32D5.12
C25A1.9	C35C5.1
C25A1.9	C37A2.4
C25A1.9	C41G7.1
C25A1.9	C44E4.4
C25A1.9	C45B2.7
C25A1.9	C47D12.1
C25A1.9	C47E12.2
C25A1.9	C48B6.2
C25A1.9	C55A6.9
C25A1.9	C55B7.5
C25A1.9	C55B7.8
C25A1.9	C55B7.9
C25A1.9	C56C10.8
C25A1.9	D2013.5
C25A1.9	D2013.7
C25A1.9	D2021.1
C25A1.9	D2085.3
C25A1.9	F08B4.5
C25A1.9	F08D12.1
C25A1.9	F11C1.6
C25A1.9	F11H8.4
C25A1.9	F13D11.2
C25A1.9	F16B4.8
C25A1.9	F16D3.4
C25A1.9	F18F11.5
C25A1.9	F18H3.5
C25A1.9	F20H11.6
C25A1.9	F21C3.5
C25A1.9	F22B5.1
C25A1.9	F22B5.2
C25A1.9	F25B3.6
C25A1.9	F26B1.7
C25A1.9	F26H11.1
C25A1.9	F27E5.2
C25A1.9	F28B3.7
C25A1.9	F28D1.10
C25A1.9	F29D11.1
C25A1.9	F31C3.5
C25A1.9	F32E10.1
C25A1.9	F33H1.3
C25A1.9	F35H10.4
C25A1.9	F36H1.2
C25A1.9	F37E3.1
C25A1.9	F39B2.6
C25A1.9	F40F8.10
C25A1.9	F43G9.1
C25A1.9	F44A6.2
C25A1.9	F47D12.4
C25A1.9	F52B10.1
C25A1.9	F54C9.5
C25A1.9	F54D5.11
C25A1.9	F54D5.5
C25A1.9	F56A11.1
C25A1.9	F57B10.1
C25A1.9	F58B3.4
C25A1.9	F59E10.1
C25A1.9	F59G1.7
C25A1.9	K01C8.9
C25A1.9	K02B12.1
C25A1.9	K03B4.3
C25A1.9	K03H1.2
C25A1.9	K04F10.4
C25A1.9	K04G2.1
C25A1.9	K04G7.11
C25A1.9	K07F5.14
C25A1.9	K10B2.1
C25A1.9	K10B3.10
C25A1.9	K12C11.2
C25A1.9	K12F2.1
C25A1.9	K12H4.3
C25A1.9	K12H4.8
C25A1.9	M01E5.5
C25A1.9	M106.5
C25A1.9	R05D3.4
C25A1.9	R06A4.4
C25A1.9	R06C1.3
C25A1.9	R06C7.5
C25A1.9	R06C7.8
C25A1.9	R07E4.6
C25A1.9	R07G3.1
C25A1.9	R08D7.2
C25A1.9	R11A8.2
C25A1.9	R13A5.12
C25A1.9	R13A5.5
C25A1.9	R13F6.1
C25A1.9	R151.9
C25A1.9	R53.6
C25A1.9	T01D1.2
C25A1.9	T01G9.6
C25A1.9	T04D3.2
C25A1.9	T06D8.8
C25A1.9	T10B5.3
C25A1.9	T17E9.1
C25A1.9	T23B12.7
C25A1.9	T23D8.9
C25A1.9	T23F2.1
C25A1.9	T23G7.1
C25A1.9	T25G3.3
C25A1.9	T26A5.7
C25A1.9	T26A5.9
C25A1.9	T26A8.4
C25A1.9	T26G10.1
C25A1.9	T27B1.2
C25A1.9	T27F7.3
C25A1.9	T28F12.2
C25A1.9	VW02B12L.1
C25A1.9	W04A4.5
C25A1.9	W04A8.7
C25A1.9	W06E11.1
C25A1.9	W07E6.1
C25A1.9	W08D2.7
C25A1.9	W08F4.8
C25A1.9	W10D5.3
C25A1.9	WBGene00007042
C25A1.9	Y106G6E.6
C25A1.9	Y110A7A.13
C25A1.9	Y111B2A.11
C25A1.9	Y113G7B.21
C25A1.9	Y11D7A.9
C25A1.9	Y34D9A.4
C25A1.9	Y39H10A.7
C25A1.9	Y40B1A.4
C25A1.9	Y47D3A.6
C25A1.9	Y49E10.21
C25A1.9	Y49F6B.1
C25A1.9	Y52B11A.9
C25A1.9	Y53C10A.12
C25A1.9	Y54E10A.2
C25A1.9	Y54E2A.11
C25A1.9	Y54E5B.3
C25A1.9	Y63D3A.5
C25A1.9	Y65B4BR.5
C25A1.9	Y71H2AM.17
C25A1.9	Y77E11A.13
C25A1.9	ZC123.3
C25A1.9	ZC518.2
C25A1.9	ZK1127.4
C25A1.9	ZK1127.5
C25A1.9	ZK1151.1
C25A1.9	ZK1236.3
C25A1.9	ZK430.8
C25A1.9	ZK637.7
C25A1.9	ZK795.3
C25A1.9	ZK856.10
C26C6.2	C27D11.1
C26C6.2	C28A5.3
C26C6.2	F10G8.3
C26C6.2	F11C1.6
C26C6.2	F13D11.2
C26C6.2	F32E10.1
C26C6.2	F33C8.1
C26C6.2	F41E6.4
C26C6.2	F46A9.4
C26C6.2	F48C1.4
C26C6.2	F54F2.1
C26C6.2	F55C7.7
C26C6.2	M03F4.6
C26C6.2	M04F3.1
C26C6.2	R02D3.5
C26C6.2	R06C1.3
C26C6.2	R06C7.5
C26C6.2	R07E5.3
C26C6.2	R13G10.1
C26C6.2	R53.3
C26C6.2	T01D1.2
C26C6.2	T01G9.4
C26C6.2	T27C4.4
C26C6.2	T27F2.1
C26C6.2	T28F12.2
C26C6.2	W02A11.4
C26C6.2	W03C9.4
C26C6.2	W09C5.2
C26C6.2	Y106G6E.6
C26C6.2	Y113G7B.21
C26C6.2	Y63D3A.5
C26C6.2	ZK1127.5
C26C6.5	C26D10.1
C26C6.5	C27A2.6
C26C6.5	C30C11.4
C26C6.5	C32A3.1
C26C6.5	C34G6.6
C26C6.5	C35C5.1
C26C6.5	C36B1.4
C26C6.5	C37A2.4
C26C6.5	C37C3.6
C26C6.5	C37H5.6
C26C6.5	C39E9.14
C26C6.5	C41G7.1
C26C6.5	C44E4.4
C26C6.5	C45G3.1
C26C6.5	C47D12.1
C26C6.5	C47E12.1
C26C6.5	C48A7.2
C26C6.5	C48B6.2
C26C6.5	C52E4.6
C26C6.5	C55A6.9
C26C6.5	C55B7.5
C26C6.5	C56C10.8
C26C6.5	D2096.8
C26C6.5	F01F1.8
C26C6.5	F08B4.5
C26C6.5	F09E5.1
C26C6.5	F10G7.4
C26C6.5	F11A3.2
C26C6.5	F11C1.6
C26C6.5	F11H8.4
C26C6.5	F12F6.7
C26C6.5	F13D11.2
C26C6.5	F14B4.3
C26C6.5	F16D3.4
C26C6.5	F19H6.1
C26C6.5	F20D12.4
C26C6.5	F20G4.3
C26C6.5	F20H11.6
C26C6.5	F21C3.5
C26C6.5	F25B3.6
C26C6.5	F25B4.6
C26C6.5	F26E4.1
C26C6.5	F26H11.1
C26C6.5	F27C1.6
C26C6.5	F27E5.2
C26C6.5	F28B3.7
C26C6.5	F28C6.3
C26C6.5	F28D1.10
C26C6.5	F29B9.6
C26C6.5	F29G9.4
C26C6.5	F31E3.1
C26C6.5	F35H10.4
C26C6.5	F37E3.1
C26C6.5	F38A6.1
C26C6.5	F41E6.4
C26C6.5	F43G9.12
C26C6.5	F46A9.5
C26C6.5	F47D12.4
C26C6.5	F48E8.5
C26C6.5	F48F7.1
C26C6.5	F52H3.1
C26C6.5	F53A2.4
C26C6.5	F54C4.3
C26C6.5	F54C9.1
C26C6.5	F54C9.9
C26C6.5	F54E7.3
C26C6.5	F54G8.3
C26C6.5	F54H12.1
C26C6.5	F55A12.8
C26C6.5	F55A8.1
C26C6.5	F56A11.1
C26C6.5	F57B9.2
C26C6.5	F57B9.5
C26C6.5	F57H12.1
C26C6.5	F58B6.3
C26C6.5	F59A3.1
C26C6.5	F59B10.1
C26C6.5	F59E10.1
C26C6.5	K01C8.10
C26C6.5	K01C8.9
C26C6.5	K02B12.1
C26C6.5	K02B12.3
C26C6.5	K04C2.2
C26C6.5	K04G2.1
C26C6.5	K04G2.8
C26C6.5	K04G7.11
C26C6.5	K07C5.4
C26C6.5	K07F5.14
C26C6.5	K08C7.3
C26C6.5	K08E3.6
C26C6.5	K09H9.6
C26C6.5	K10B2.1
C26C6.5	K10G6.1
C26C6.5	K12H4.3
C26C6.5	K12H4.8
C26C6.5	M01E5.5
C26C6.5	M04B2.1
C26C6.5	M18.5
C26C6.5	M57.2
C26C6.5	R05D3.4
C26C6.5	R06A4.4
C26C6.5	R06C7.8
C26C6.5	R06F6.1
C26C6.5	R07G3.1
C26C6.5	R13A5.12
C26C6.5	R13F6.1
C26C6.5	R151.9
C26C6.5	R53.3
C26C6.5	R53.6
C26C6.5	T01G9.4
C26C6.5	T01G9.6
C26C6.5	T01H3.1
C26C6.5	T04A8.6
C26C6.5	T04D3.2
C26C6.5	T05G5.3
C26C6.5	T08B6.3
C26C6.5	T09A5.9
C26C6.5	T10B5.5
C26C6.5	T17E9.2
C26C6.5	T20B12.1
C26C6.5	T22A3.5
C26C6.5	T22D1.10
C26C6.5	T23B12.7
C26C6.5	T23D8.9
C26C6.5	T23F2.1
C26C6.5	T25G3.3
C26C6.5	T26A5.7
C26C6.5	T26A5.9
C26C6.5	T26A8.4
C26C6.5	T26G10.1
C26C6.5	T27C4.4
C26C6.5	T27F7.3
C26C6.5	W01B11.3
C26C6.5	W01B6.9
C26C6.5	W01G7.3
C26C6.5	W02A11.4
C26C6.5	W03C9.4
C26C6.5	W04A4.5
C26C6.5	W06E11.1
C26C6.5	W08D2.7
C26C6.5	W08E3.1
C26C6.5	W09C5.2
C26C6.5	W09G12.5
C26C6.5	WBGene00007042
C26C6.5	Y110A7A.13
C26C6.5	Y111B2A.11
C26C6.5	Y32F6A.3
C26C6.5	Y34D9A.10
C26C6.5	Y40B1A.4
C26C6.5	Y41E3.11
C26C6.5	Y47D3A.26
C26C6.5	Y47D3A.6
C26C6.5	Y47G6A.20
C26C6.5	Y47G6A.8
C26C6.5	Y47G6A.9
C26C6.5	Y48B6A.3
C26C6.5	Y48G1A.5
C26C6.5	Y49F6B.1
C26C6.5	Y49F6B.2
C26C6.5	Y51H7C.6
C26C6.5	Y52B11A.9
C26C6.5	Y53C10A.12
C26C6.5	Y53F4B.22
C26C6.5	Y54E10A.2
C26C6.5	Y54E2A.11
C26C6.5	Y55F3AR.3
C26C6.5	Y62E10A.11
C26C6.5	Y65B4BR.5
C26C6.5	Y71F9AM.4
C26C6.5	Y71H2AM.17
C26C6.5	Y75B8A.7
C26C6.5	Y77E11A.13
C26C6.5	Y77E11A.7
C26C6.5	ZC123.3
C26C6.5	ZK1127.5
C26C6.5	ZK1128.3
C26C6.5	ZK1151.1
C26C6.5	ZK637.7
C26C6.5	ZK856.10
C26D10.1	C30C11.4
C26D10.1	C48B6.2
C26D10.1	F20H11.6
C26D10.1	F37E3.1
C26D10.1	F57B9.5
C26D10.1	K01C8.9
C26D10.1	K04C2.2
C26D10.1	K07F5.14
C26D10.1	K12H4.3
C26D10.1	M04B2.1
C26D10.1	R13A5.12
C26D10.1	T26G10.1
C26D10.1	Y47G6A.20
C26D10.1	Y75B8A.7
C26D10.1	ZC123.3
C26D10.1	ZK1127.5
C26D10.1	ZK1151.1
C26D10.2	C26E6.4
C26D10.2	C27A2.6
C26D10.2	C29F9.7
C26D10.2	C30C11.4
C26D10.2	C32E12.3
C26D10.2	C33D3.1
C26D10.2	C37A2.4
C26D10.2	C41G7.1
C26D10.2	C42C1.5
C26D10.2	C47D12.1
C26D10.2	C47D12.6
C26D10.2	C47E12.2
C26D10.2	C49F5.1
C26D10.2	C52E4.6
C26D10.2	C54D1.5
C26D10.2	C56C10.8
C26D10.2	D1014.3
C26D10.2	D1043.1
C26D10.2	D2013.5
C26D10.2	DY3.2
C26D10.2	F01F1.8
C26D10.2	F09D1.1
C26D10.2	F10E7.7
C26D10.2	F11C1.6
C26D10.2	F11H8.4
C26D10.2	F15D3.4
C26D10.2	F16B4.8
C26D10.2	F18F11.5
C26D10.2	F18G5.2
C26D10.2	F20D12.2
C26D10.2	F20D12.4
C26D10.2	F23F1.5
C26D10.2	F23F1.8
C26D10.2	F25B3.6
C26D10.2	F25B4.6
C26D10.2	F28D1.10
C26D10.2	F29G6.3
C26D10.2	F29G9.3
C26D10.2	F31E3.1
C26D10.2	F33H1.3
C26D10.2	F35H10.4
C26D10.2	F40F8.10
C26D10.2	F42A8.2
C26D10.2	F53A3.3
C26D10.2	F54G8.3
C26D10.2	F55A11.2
C26D10.2	F56D1.4
C26D10.2	F57B10.1
C26D10.2	F57B9.10
C26D10.2	F57B9.2
C26D10.2	F58B3.4
C26D10.2	F59E10.1
C26D10.2	F59E10.3
C26D10.2	H19M22.2
C26D10.2	K01C8.10
C26D10.2	K01C8.9
C26D10.2	K02B12.1
C26D10.2	K02F2.2
C26D10.2	K04C2.2
C26D10.2	K04G2.3
C26D10.2	K04G7.11
C26D10.2	K07C5.4
C26D10.2	K07D4.3
C26D10.2	K07D8.1
C26D10.2	K08E3.6
C26D10.2	K08E4.1
C26D10.2	K09H9.6
C26D10.2	K11D9.2
C26D10.2	K11H12.2
C26D10.2	K12H4.3
C26D10.2	M106.5
C26D10.2	M110.4
C26D10.2	M28.5
C26D10.2	R02D3.3
C26D10.2	R06A4.4
C26D10.2	R07E4.6
C26D10.2	R07G3.1
C26D10.2	R09B3.4
C26D10.2	R12B2.5
C26D10.2	R13F6.1
C26D10.2	R13F6.10
C26D10.2	R144.2
C26D10.2	R74.1
C26D10.2	T01C3.7
C26D10.2	T01D1.2
C26D10.2	T01H3.1
C26D10.2	T02G5.9
C26D10.2	T05C12.7
C26D10.2	T07F8.3
C26D10.2	T10F2.3
C26D10.2	T10H9.3
C26D10.2	T12C9.7
C26D10.2	T12D8.1
C26D10.2	T13H5.4
C26D10.2	T17E9.1
C26D10.2	T17E9.2
C26D10.2	T20B12.1
C26D10.2	T21D12.4
C26D10.2	T22D1.10
C26D10.2	T25D3.2
C26D10.2	T27F2.1
C26D10.2	VW02B12L.1
C26D10.2	W04A8.7
C26D10.2	W07B3.2
C26D10.2	W08D2.7
C26D10.2	W09C2.1
C26D10.2	W09C5.6
C26D10.2	Y105E8B.1
C26D10.2	Y110A7A.13
C26D10.2	Y111B2A.11
C26D10.2	Y116A8C.35
C26D10.2	Y11D7A.9
C26D10.2	Y25C1A.5
C26D10.2	Y32F6A.3
C26D10.2	Y38A8.2
C26D10.2	Y39H10A.7
C26D10.2	Y40B1A.4
C26D10.2	Y43H11AL.3
C26D10.2	Y47D3A.26
C26D10.2	Y47D3A.6
C26D10.2	Y47D3B.7
C26D10.2	Y48B6A.13
C26D10.2	Y53C10A.12
C26D10.2	Y54E2A.11
C26D10.2	Y57A10A.27
C26D10.2	Y71F9B.4
C26D10.2	Y71G12B.11
C26D10.2	Y71H2AM.17
C26D10.2	Y77E11A.13
C26D10.2	ZC168.3
C26D10.2	ZC247.1
C26D10.2	ZC434.4
C26D10.2	ZK1058.2
C26D10.2	ZK1151.1
C26D10.2	ZK1236.3
C26E6.4	C42C1.5
C26E6.4	F01F1.8
C26E6.4	F55A11.2
C26E6.4	F57B9.2
C26E6.4	H19M22.2
C26E6.4	K07D8.1
C26E6.4	K11D9.2
C26E6.4	K11H12.2
C26E6.4	M106.5
C26E6.4	M28.5
C26E6.4	R12B2.5
C26E6.4	R144.2
C26E6.4	T01C3.7
C26E6.4	T21D12.4
C26E6.4	W07B3.2
C26E6.4	Y71F9B.4
C26E6.4	ZK1058.2
C27A2.2	C49F5.1
C27A2.2	D2013.5
C27A2.2	D2045.6
C27A2.2	D2085.3
C27A2.2	E04A4.4
C27A2.2	F09E5.2
C27A2.2	F10B5.1
C27A2.2	F11C1.6
C27A2.2	F11H8.4
C27A2.2	F25D7.3
C27A2.2	F26D11.11
C27A2.2	F27C1.2
C27A2.2	F37E3.1
C27A2.2	F53A3.3
C27A2.2	F54C4.3
C27A2.2	F54C9.1
C27A2.2	F54C9.5
C27A2.2	F55A8.1
C27A2.2	F55C5.8
C27A2.2	F56B3.8
C27A2.2	F59A2.4
C27A2.2	H06H21.3
C27A2.2	H19N07.1
C27A2.2	K01C8.10
C27A2.2	K01C8.9
C27A2.2	K02F2.2
C27A2.2	K04C2.2
C27A2.2	K04G2.1
C27A2.2	K07C5.4
C27A2.2	K10B2.1
C27A2.2	K10B2.5
C27A2.2	K11H12.2
C27A2.2	M110.4
C27A2.2	R02D3.3
C27A2.2	R05H10.2
C27A2.2	R07G3.3
C27A2.2	T01B7.5
C27A2.2	T02G5.9
C27A2.2	T02H6.11
C27A2.2	T05E11.5
C27A2.2	T08B2.10
C27A2.2	T09A5.11
C27A2.2	T12A2.2
C27A2.2	T12D8.7
C27A2.2	T19E10.1
C27A2.2	T21B10.7
C27A2.2	T22D1.4
C27A2.2	T27F7.3
C27A2.2	W01D2.2
C27A2.2	W07E6.1
C27A2.2	W09C5.2
C27A2.2	Y105E8A.16
C27A2.2	Y105E8B.1
C27A2.2	Y105E8B.2
C27A2.2	Y37D8A.10
C27A2.2	Y38A8.2
C27A2.2	Y48B6A.1
C27A2.2	Y53C12A.4
C27A2.2	Y53C12B.2
C27A2.2	Y55F3AR.3
C27A2.2	Y59A8B.6
C27A2.2	Y71G12B.11
C27A2.2	Y87G2A.5
C27A2.2	ZC247.1
C27A2.2	ZC376.6
C27A2.2	ZC404.7
C27A2.2	ZK1127.5
C27A2.2	ZK1236.3
C27A2.2	ZK287.5
C27A2.2	ZK856.11
C27A2.6	C27F2.10
C27A2.6	C27H6.2
C27A2.6	C30C11.4
C27A2.6	C37A2.4
C27A2.6	C37C3.6
C27A2.6	C38C3.5
C27A2.6	C41G7.1
C27A2.6	C45G3.1
C27A2.6	C47D12.1
C27A2.6	C47E12.2
C27A2.6	C48A7.2
C27A2.6	C55A6.9
C27A2.6	C56C10.8
C27A2.6	D2013.7
C27A2.6	D2096.8
C27A2.6	F01F1.12
C27A2.6	F01F1.8
C27A2.6	F08B1.1
C27A2.6	F08B4.5
C27A2.6	F11H8.4
C27A2.6	F16D3.4
C27A2.6	F20D12.2
C27A2.6	F21C3.5
C27A2.6	F22B5.1
C27A2.6	F23F1.5
C27A2.6	F23F1.8
C27A2.6	F25B3.6
C27A2.6	F25H8.2
C27A2.6	F27E5.2
C27A2.6	F28C6.3
C27A2.6	F28D1.10
C27A2.6	F31C3.5
C27A2.6	F35H10.4
C27A2.6	F37E3.1
C27A2.6	F48C1.4
C27A2.6	F48E8.5
C27A2.6	F54C4.3
C27A2.6	F54C9.9
C27A2.6	F54D12.4
C27A2.6	F56D1.4
C27A2.6	F57B10.1
C27A2.6	F57B9.2
C27A2.6	F59B10.1
C27A2.6	F59E10.1
C27A2.6	H38K22.1
C27A2.6	K01C8.10
C27A2.6	K02F2.2
C27A2.6	K04C2.2
C27A2.6	K04G7.11
C27A2.6	K05C4.6
C27A2.6	K08E3.6
C27A2.6	K08E4.1
C27A2.6	K12F2.1
C27A2.6	K12H4.3
C27A2.6	M01E5.5
C27A2.6	M106.5
C27A2.6	M110.4
C27A2.6	M28.5
C27A2.6	R02D3.5
C27A2.6	R05D3.4
C27A2.6	R06A4.4
C27A2.6	R06C1.3
C27A2.6	R06C7.5
C27A2.6	R06F6.1
C27A2.6	R07G3.1
C27A2.6	R09B3.4
C27A2.6	R13F6.1
C27A2.6	R53.3
C27A2.6	T01C3.1
C27A2.6	T01G9.6
C27A2.6	T04D3.2
C27A2.6	T05E8.3
C27A2.6	T06D8.8
C27A2.6	T10F2.3
C27A2.6	T12D8.1
C27A2.6	T20B12.1
C27A2.6	T22D1.10
C27A2.6	T23B12.7
C27A2.6	T23D8.9
C27A2.6	T25C12.1
C27A2.6	T25D3.2
C27A2.6	T26A5.9
C27A2.6	W04A4.5
C27A2.6	W04A8.7
C27A2.6	W07E6.4
C27A2.6	W08D2.7
C27A2.6	W08F4.8
C27A2.6	W09C2.1
C27A2.6	Y110A7A.13
C27A2.6	Y111B2A.11
C27A2.6	Y34D9A.4
C27A2.6	Y40B1A.4
C27A2.6	Y41E3.11
C27A2.6	Y47D3B.7
C27A2.6	Y47G6A.9
C27A2.6	Y48G1A.5
C27A2.6	Y49E10.21
C27A2.6	Y49F6B.1
C27A2.6	Y51A2D.15
C27A2.6	Y52B11A.9
C27A2.6	Y53H1C.2
C27A2.6	Y54E10A.2
C27A2.6	Y54E2A.11
C27A2.6	Y55F3AR.3
C27A2.6	Y71F9AM.4
C27A2.6	Y71G12B.11
C27A2.6	Y71H2AM.17
C27A2.6	Y77E11A.13
C27A2.6	ZK1128.3
C27A2.6	ZK1151.1
C27A2.6	ZK550.4
C27A2.6	ZK593.5
C27A2.6	ZK637.7
C27A2.6	ZK637.8
C27D11.1	C27F2.8
C27D11.1	C28A5.3
C27D11.1	C31H2.2
C27D11.1	C33H5.9
C27D11.1	C34B2.7
C27D11.1	C37H5.5
C27D11.1	C41C4.6
C27D11.1	C44E4.4
C27D11.1	C52A11.2
C27D11.1	F01F1.12
C27D11.1	F11C1.6
C27D11.1	F11E6.5
C27D11.1	F13D11.2
C27D11.1	F31E3.1
C27D11.1	F32E10.1
C27D11.1	F41E6.4
C27D11.1	F46A9.4
C27D11.1	F46E10.9
C27D11.1	F47F6.1
C27D11.1	F54E7.2
C27D11.1	F54F2.1
C27D11.1	F56C9.1
C27D11.1	F57B10.1
C27D11.1	F59B10.1
C27D11.1	H41C03.1
C27D11.1	K07E8.3
C27D11.1	M106.5
C27D11.1	R06A10.2
C27D11.1	R06C1.3
C27D11.1	R07E5.3
C27D11.1	R13A5.8
C27D11.1	R13G10.1
C27D11.1	R31.1
C27D11.1	R53.3
C27D11.1	T01B7.5
C27D11.1	T01B7.7
C27D11.1	T01D1.2
C27D11.1	T01G9.4
C27D11.1	T04A8.6
C27D11.1	T23D8.1
C27D11.1	T25C12.1
C27D11.1	T27F2.1
C27D11.1	T28F12.2
C27D11.1	W02A11.4
C27D11.1	W04D2.6
C27D11.1	W09C5.2
C27D11.1	Y106G6E.6
C27D11.1	Y113G7B.21
C27D11.1	Y11D7A.9
C27D11.1	Y17G7B.20
C27D11.1	Y38F2AL.1
C27D11.1	Y49F6B.1
C27D11.1	Y51H7C.6
C27D11.1	Y63D3A.5
C27D11.1	Y77E11A.13
C27D11.1	ZC395.3
C27D11.1	ZK1098.1
C27D11.1	ZK1127.5
C27F2.10	C27H6.2
C27F2.10	C30C11.4
C27F2.10	C32D5.3
C27F2.10	C33H5.9
C27F2.10	C37A2.4
C27F2.10	C44E4.4
C27F2.10	C47E12.2
C27F2.10	C48E7.2
C27F2.10	C55B7.5
C27F2.10	C55B7.8
C27F2.10	C55B7.9
C27F2.10	C56C10.8
C27F2.10	D2013.5
C27F2.10	D2013.7
C27F2.10	D2021.1
C27F2.10	F08D12.1
C27F2.10	F11C1.6
C27F2.10	F16D3.4
C27F2.10	F21C3.5
C27F2.10	F22B5.1
C27F2.10	F22B5.2
C27F2.10	F25B3.6
C27F2.10	F28D1.10
C27F2.10	F29D11.1
C27F2.10	F31E3.1
C27F2.10	F32E10.1
C27F2.10	F33H1.3
C27F2.10	F40F8.10
C27F2.10	F42A8.1
C27F2.10	F52B10.1
C27F2.10	F54D5.11
C27F2.10	F54D5.5
C27F2.10	F55F8.2
C27F2.10	F57B10.1
C27F2.10	F58B3.4
C27F2.10	F59E10.1
C27F2.10	F59G1.7
C27F2.10	K01G5.5
C27F2.10	K02B12.1
C27F2.10	K03B4.3
C27F2.10	K04G7.11
C27F2.10	K07F5.14
C27F2.10	K08B12.5
C27F2.10	K10B3.10
C27F2.10	K12F2.1
C27F2.10	K12H4.8
C27F2.10	M01E5.5
C27F2.10	M106.5
C27F2.10	R02D3.3
C27F2.10	R05D3.4
C27F2.10	R06A4.4
C27F2.10	R06C1.3
C27F2.10	R06C7.5
C27F2.10	R07E4.6
C27F2.10	R07G3.1
C27F2.10	R08D7.2
C27F2.10	R11A8.2
C27F2.10	R13A5.5
C27F2.10	R13F6.1
C27F2.10	R31.1
C27F2.10	T01G9.6
C27F2.10	T02G5.9
C27F2.10	T04D3.2
C27F2.10	T06D8.8
C27F2.10	T08B2.10
C27F2.10	T10B5.3
C27F2.10	T17E9.1
C27F2.10	T23B12.7
C27F2.10	T23D8.9
C27F2.10	T23F2.1
C27F2.10	T23G7.1
C27F2.10	T25G3.3
C27F2.10	T26A5.7
C27F2.10	T26A5.9
C27F2.10	T26G10.1
C27F2.10	T27B1.2
C27F2.10	T27F7.3
C27F2.10	W04A8.7
C27F2.10	W06E11.1
C27F2.10	W07E6.1
C27F2.10	W08F4.8
C27F2.10	W10D5.3
C27F2.10	Y106G6E.6
C27F2.10	Y113G7B.21
C27F2.10	Y11D7A.9
C27F2.10	Y40B1A.4
C27F2.10	Y47D3B.7
C27F2.10	Y49E10.21
C27F2.10	Y49F6B.1
C27F2.10	Y52B11A.9
C27F2.10	Y54E2A.11
C27F2.10	Y54E5B.3
C27F2.10	Y65B4BR.5
C27F2.10	Y77E11A.13
C27F2.10	ZC518.2
C27F2.10	ZK1127.4
C27F2.10	ZK1127.5
C27F2.10	ZK1151.1
C27F2.10	ZK430.8
C27F2.10	ZK637.7
C27F2.10	ZK795.3
C27F2.10	ZK856.10
C27F2.8	C31H2.2
C27F2.8	C32E12.4
C27F2.8	C33H5.9
C27F2.8	C49F5.1
C27F2.8	C53D5.4
C27F2.8	D1007.5
C27F2.8	D2021.1
C27F2.8	D2085.3
C27F2.8	F11C1.6
C27F2.8	F25B4.9
C27F2.8	F25D7.3
C27F2.8	F27C1.2
C27F2.8	F29D11.2
C27F2.8	F37E3.1
C27F2.8	F46F11.9
C27F2.8	F54E7.2
C27F2.8	F55C5.8
C27F2.8	F55C7.7
C27F2.8	F57B10.1
C27F2.8	F59B10.1
C27F2.8	F59E10.1
C27F2.8	F59G1.7
C27F2.8	H04M03.4
C27F2.8	H06H21.3
